tweet,sentiment
"abc has , and the country music awards, they may still have a little credibility come wednesday.",positive
"here in the philippines, its november 2 and i was like where's my phone?! what is the time in london?!",positive
tonight dr. terrie hale scheckelhoff will be formally installed as the 11th head of school. welcome to the saints family !,positive
"man, bye. i gotta work all day and drive to houston tomorrow.",neutral
won't get emojis till tomorrow beeeotch! when is your grandma going back to brazil? i wanna see your fam before they leave!,neutral
"'love-cheat' daniel radcliffe splits with girlfriend rosie coker: london, oct 19: daniel radcliffe has split wit...",negative
"he's a true niners fan, he brought it up in a interview during his 2nd season. :d",positive
"patriots extend lead, cruise into 4th with 38-7 lead - pats pulpit: the patriots extended their lead in the 3rd ...",positive
yeah i think so. we saw suarez score up near us and we played pretty well 2nd half so it wasn't so bad. probably should've had et,positive
i may exit off twitter and fb and thug with instagram btw its blonde_lifestyle:insta,neutral
"indiana 1, northwestern 0, end first half, men's soccer. eriq zavaleta's 16th goal the difference. iu dominating play.",neutral
"vh1's ""mob wives"" celebrate the 20th anniversary of the clothing line in new york city -",neutral
pretty little liars was the shit ! i can't wait til tomorrow ! i wanna see who all innocent & who got something to do with allison dying !,positive
texas and baylor both looked awesome last night. we are heading to the games tomorrow night.i say final is texas/baylor,positive
"if you are in vancouver this weekend, check out on sat. at 20:00 the commo in vancouver, bc",neutral
great game girls!! on to districts monday at fox!! thanks to the fans for coming out :),positive
"jesiah of course can't fall asleep. so since he's off school tomorrow, he's cuddled up with mama watching wizards of waverly place<3",neutral
"it says on wiki that the ep will now air on the 13th, no links at the moment for it.",neutral
"cardinal men take 4th in cypress point tournament: a good host never outshines their guests, but the stanford me...",negative
who's going to concords football game this saturday?,neutral
"17, plays softball, loves the lakers, she's a la girl, junior, birthday september, 15th & she loves her black boys!",positive
"so friday at onyx there was a bachelor party & the best man tells the bachelor, ""you getting married tomorrow!"" the bachelor says...",neutral
"waking up to a niners win, makes tuesday get off to a great start! 21-3 over the cards and 2 games clear in the nfc west.",positive
contest tomorrow! i will post a local tucson property that is currently active in the tucson mls. the first person...,positive
"if it's the iowa vs. indiana game, we may be the only two there!",neutral
nooooooo this sunday is the last episode of downton abbey. :( there's a christmas special coming but that's ages away.,negative
"im so excited even though i wont see you til novemeber 5th. oiershdjkfwle good luck tonight, kidrauhl!",positive
"i believe the snobish mainstream media, abc, cbs,nbc, cnn, msnbc may get their comeupance this election. people r sick of their bias!",negative
if you didnt see it already heres my halloween effort from saturday - david bowie frm the labyrinth as a vamp!,neutral
well if no ones going to school tomorrow then i guess i won't go :p,negative
tom brady wins afc offensive player of the week for 22nd time (via ),positive
watching contraband on the pvr & it's too frigging predictable to continue watching. gonna go wash my hair.,negative
"i'd be pretty mad if the packers took bernard in the 1st just bc, cooper/eifert would be better imo.",negative
herald sun: afl stars make their ufc 152 picks: dane swan and gary ablett give us their pick...,neutral
very amazayn voice to the 1st verse man zayn malik! xx,positive
"steal by chalmers, on the break away and is fouled by garnett. that is his 3rd foul of this game.",negative
you out again on thursday for at chalmers??,neutral
"free to watch!!! justified: ""justified"" follows marshal raylan givens, a modern day 19th century-style lawman, w...",positive
"come support the show/movement at park dale high school on oct 26th from 8-11 w/ aja, dreamteam, hqb, dsb & hib",neutral
i admire the relationship u have with your family. lol iron man's a pretty suitable costume. good luck monday go saints!,positive
"well i went maths on mon, tues + wed but cba now youu? &nopee just town today and thats itt x_x",neutral
"lance just left, dinner with the fam was great. managed to watch napoleon dynamite and the devil inside. long story short: wonderful sunday.",positive
"come see the david bowie tribute show i'm in king king, h'wood, nov 4 & 5 (my b'day). 6 singers/dancers, 6 pc band - killin!",positive
your like jordan's on a saturday i got to have you and i cannot wait. .,positive
but i wanna wear my concords tomorrow though but i don't feel like it,neutral
gonna watch grey's anatomy all day today and tomorrow(:,neutral
heey do you know anything about uva's fallll fest loll they invited me so im going this sat but i really dont know what it is loll,neutral
"when that sun is high in that texas sky, i'll be buckin it to county fair. amarillo by morning. amarillo ill be there...",neutral
up 20 points in my money league with vernon davis and l. fitz still to go tomorrow. thats what i like to see,positive
deejaying this friday in the first chop it's chris actual smith with a smashing mish mashing of tunes from stoke...,positive
"the rick santorum signing that was scheduled for tomorrow at the books a million in exton, pa has been cancelled due to the weather.",negative
"just noticed ricky gervais and stephen merchant's life's too short started airing on bbc entertainment. check it out on sunday, 20:30.",neutral
lol yep looks like it! was after el clasico on sunday. i didn't like her lol and this doesn't look serious so i'm cool lol,neutral
as usual no. you can skype with me this saturday kot. still in milan bro.,neutral
back in stoke on trent for the 2nd time today!,neutral
first girls varsity basketball game tomorrow at 6:00 pm then football senior night at 7:15 pm see you there! go saints!,neutral
"lightweights vs set for tuf 16 finale on the fx december 15 card, prelims on fuel tv and facebook.",neutral
slide thru sometime this weekend ill have somethin yu can sip on lol gotta make a abc run tomorrow anyway,neutral
the fact that i still havent decided if im going to wvu tonight or tomorrow night hmmmm,neutral
"sure absolutely-- i meant out of the bachmann, perry, santorum, herman cain bunch this election. and romney was not my 1st choice",negative
"re levein discussion on wed. can't keep changing boss, but he is far too negative. brazil gone, new boss cud experiment.",negative
"today in history november 02, 1958 elvis gave a party at his hotel before going out on maneuvers. he sang and...",neutral
hustle cause you got to then kick back n party everyday like its fri,positive
"sam groaned. ""don't /remind/ me..."" he murmured. he adjusted himself in his pants and sat up. ""we leaving then?""",neutral
i can't sleep. way too exited about vancouver tomorrow! i'm like a kid at christmas.,positive
"coming to greenville tomorrow for my last few days in sc, then it's west coast shawwty",neutral
"entertainment: tina fey and amy poehler are hosting the golden globes, airing jan 13. get ready for a night full of laughs!! -ashley&alyssa",positive
who's going to plymouth town tomorrow?,neutral
i bet the clippers are gonna get in the lakers ass friday (today),negative
if you do another season of big brother please please please bring friday night live back!! everyone wants it back on!,neutral
": it's that you can listen to the deluxe version of tmh on itunes 9pm gmt on nov 5th, monday.",positive
"i said it b4 dat gucci been promoting his mixtape 2 drop on 10/17 since august, gotti just up & tried 2 come out on da same date",neutral
"busy day tomorrow, staging at bliss instead of sustenio!! both very cool places. and my last night in texas. its gonna be great! :)",positive
my pain may be the reason for somebody's laugh. but my laugh must never be the reason for somebody's pain - charlie ch,neutral
might do my sport work on the train tomorrow cbb right now,neutral
"just watched most of movie,missed the 1st 20 min.s,but...i thought y2j was in it!looked like him,said chris jericho in credits,but...nah! (;",neutral
"thursday night is reserved for comedys on nbc, fx and tonight, nfl network.",positive
at the monday night football game cardinals vs niners with steve edlefsen and matthew kroon.,neutral
mitt romney falsely claimed he saw his father march with martin luther king jr. mitt romney what won't you lie about?,negative
its going down in this saturday! geaux tigers,positive
get to see my big sis sunday and watch the packers game!,positive
"not only is home from china, she's in la...i called her and screamed mandyyyyyyyyyyyyy...i'm gonna hug her for 2 hrs tomorrow!",positive
may i know if there is still a chance to meet tiger woods before he leaves singapore?,neutral
going to singapore tonight :) excited for skyfall + penny boarding tomorrow!,positive
"firework just came on my tv and i just broke down and sat and cried, i need help okay",negative
you ain't gone do shit tomorrow we gone see chicken shit,negative
"my great grandpa was gonna march with dr. king but he said ""nah man, why march when i can finger these white bitches instead?""",negative
"remember this? santorum: romney, obama healthcare mandates one and the same",neutral
watching napoleon dynamite with = best friday night ever!,positive
did romney's dad march with dr.king yes or no ?,neutral
last man standing season 2 premieres november 2nd on abc with an election theme via,neutral
bama maintains the longest active unbeaten streak as they march (again) to the national title. roll tide!,positive
uploading my ipod for tht drive back to the o tomorrow,neutral
i'll donate $5 to the homeless guy on 3rd st. if u can talk into letting us judge the next miss america,neutral
"so clattenburg's alleged racism may mean end of his career; terry, suarez, rio use it and can't play for a couple of weeks?",negative
watching this great interview with ava duvernay-new film coming out fri. with the beautiful nigerian actor from red tails,positive
pretty little liars is not back until the 8th of january!!! i'm devastated,negative
i like how each friday the announcers hype how alabama can be beat and each monday state how alabama is still number one...,positive
i'm going to blockbuster tomorrow to get devil inside if that's okay??;),neutral
[espn] sec lunch links: some linkage for you on a thursday: alabama will throw some different thing...,neutral
""" : better qb: ben roethlisberger or eli manning? you make the call - and watch them face off this sunday."" tony romo.",neutral
damn only the 2nd day in the nba season and tony parker already hitting game winners,neutral
"thanking all my lucky stars. (no madonna) ""with the sun in the mornin' & the moon in the evenin' i'm alright.""",positive
"the philippines just passed a law worse than sopa, which actually criminalizes criticizing someone online.",negative
"emile heskey has sure started his a-league career well. 4 goals in 3 games! may it continue. ""match stats",positive
hey it's natalie the intern at cbs 47 do you mind if i shadow you tomorrow or monday or whenever it's convenient for you? :),neutral
"when i was little my brother liam asked me ""is it tomorrow yet?"" and i replied ""no, it's always today.""",neutral
"you are top billing to shakespeare in google but 2nd in wiki. one, a master of english; the other, from stratford.",neutral
sorry!! still hope to see you in los angeles in february!!,negative
"but some of ya need to calm down, there just snippets! and besides we get to hear them on itunes on monday so it's not really a big deal!",neutral
"gary ablett has to be a surely. a lot of losses, but clearly best and most influential player in the & thommo 2nd",positive
"these past few weeks i haven't been excited about scandal, grey's or fried chicken thursday....this semester has shown me no mercy smh",negative
"cheers 4 the ticket ed 4 wednesday ,steve looks a bit like ricky gervais fucker",negative
"i'll be in london, within zayn's birthday the 12th of january meet you there hahaaha dreams and imagination of mine ..",positive
nor'easter superstorm with snow and low temps according to fox it may change paths by then,neutral
but honestly i think miami may be the alabama of the nba.,neutral
well said on hmw. can you now address why texans fans file out of the stadium midway through the 4th qtr of every game?,neutral
girl exactly but i'm mad because they pushed gotti date back! but fuck all that november 23 rva! shawty how you acting??,negative
"on the jersey shore, emotion outweighs cost of rebuilding: bay head, n.j./boston (reuters) - the people of the jersey shore may feel ...",neutral
the may have the best defense..but they still lost to the packers,negative
sad scenes about underoath splitting. off to newcastle tomorrow for the weekend. try catch the game too. if yr about,negative
anybody at the trib: where is ike taylor's friday column? sucks i can't find it. first one i've actually looked forward to reading.,negative
get pumped for the new season of justified!!,positive
sunderland have some shit fans! they all were going home with 10 mins of the game left. demba ba still 2nd top scorer,negative
1.she is in love with zayn malik and beau brooks 2.ive known her since 5th grade(; 3.she is so tiny!,positive
i hope anderson starts tomorrow's game he did very against chelsea,positive
look forward to seeing you in newcastle tomorrow night! i'll be front row wearing a broski t-shirt!,positive
the fiesta bowl. and i was surprised to see they were ranked 6th in the polls. cuse don't get alot of love in football land,negative
"it'll prolly sound like the 1st pluto which was ................... ok, i wonder if he gone have kanye on it",neutral
i'm going to the texans game sunday!,neutral
new series of greys anatomy starts on 07 november - one good thing about winter is the return of the best us shows!,positive
jerred tomorrow followed by a day of nothing but xbox sounds great. then next friday. so much excite.,positive
"""wicked"" welcome to new england! are you still in boston? im going to mass tomorrow to my friends house",positive
we all know that ike taylor got the 3rd top player of the game for his swaggin' prowess only.,negative
"suarez is 1 yc away from a domestic suspension. if he picks up a yc this sunday vs newcastle, then he will miss the clash at sb next w/end.",neutral
two-thirds of the ncaa football season are completed. the race for the bcs title game is heading to a huge controversy.,negative
"is demba ba sunderlands 2nd top scorer, i believe he is.",positive
"fam, twitpic your halloween costume to win a pair of tickets to see the hawks defeat the rockets this friday",positive
sitting at home on a saturday night doing absolutely nothing... guess i'll just watch greys anatomy all night.,negative
"cardinals try to pick up the pieces against packers: embarrassed on monday night, the arizona cardinals are left...",negative
dear one was driving from newcastle. sunday? so glad liked it - it was great to meet you norelle!,positive
"the 6th chapter talks about malcolm x and i think martin luther king,.he kinda contrasts them",neutral
5) don't mention the score: 'do we want revenge? no.' - wenger ahead of the united game on saturday,negative
"online it said one direction tix for paris april 29th 2013 go on sale at 10am, what site can you buy tickets!",neutral
u going to chalmers tomorrow?,neutral
off to anfield on sunday for lfc vs newcastle with,positive
mr howard webb did a fantastic comback in chelsea match 05 february 2012 - with the help of two magic penalties of course...,positive
"on the jersey shore, emotion outweighs cost of rebuilding: bay head, n.j./boston, nov 2 (reuters) - the people of...",neutral
cowboys will beat the falcons sunday,positive
check out sir terry leahy article in saturday's telegraph weekend section re why he invested in gcse maths resource .,neutral
plagiarism. sopa's gonna get you on october 3.,negative
vegas beat: ellen reveals that madonna helped her come out of the closet: tuesday's episode of ellen featured th...,positive
can't wait to go to the wvu vs. tcu game on saturday,positive
very much looking forward to saturday. afternoon tea and firework display at the celtic manor.,positive
hahaaa. well if u wanna take me to brazil i ain't gonn say no. how about viva brazil tho next friday night? bit cheaper xxx,neutral
"16:46 steven pourier, jr. (olc) made the 1 shot free throw. dasu leads 8 - 6 in the 1st half.",neutral
trent richardson has the browns out to a 7-0 lead over the chargers on sunday.,neutral
"gerrard: ""every single time they got the ball to their keeper it came in long"". sunday's long ball stats - tim howard (15), brad jones (20).",neutral
muhammad ali came into my work tonight to eat...i think that being in the presence of a legend made this tuesday pretty legit.,positive
"""i didn't want new york to miss my madonna show. get ready for monday! it's gonna be on wnbc!"" there is a god<333333 thanks ellen :'3",positive
maybe ksrc needs a wrasslin' recap then. once mentioned we may have things about the bachelor,neutral
life just isn't the same when there is no pretty little liars on tuesday nights.,negative
(times pic) lsu coach les miles said bcs title game has no bearing on saturday's matchup with alabama,neutral
""" : we look like uva. there i said it."" so sad but so very true.. november 24th is going to be a circus",negative
class early in the mornjng =\ it's bedtime! but do get to see my sam tomorrow :),neutral
hey :) support to the philippines? cybercrime law to be in full effect tomorrow. our version of sopa,positive
""" : ""despite what you may have heard, i actually do give a shit."" --honey badger, in an interview with piers morgan""",negative
i get to see ces tomorrow!!!!! best news since the hurricane. he better not forget his flashlight!,positive
"can mike brown play golf? he may need to hit up the stanford women's team w ty willingham after this start, honestly...",neutral
please join and myself this tuesday 8:30 pm as we discuss hib. special guest moderator glad to have you.,positive
remember the midterm elections? remember the wisconsin recall? just wait for next tuesday.,neutral
just been informed my police hat from saturday has made a home in chalmers and no doubt has made a home with some skank sob,negative
"it's either ua or au for grad school. as much as i love alabama, i'm thinking auburn may be the better choice for me.",positive
watched a pride and prejudice play and then the season finale of the 2nd season of downton abbey. tonight is so british.,positive
"devil's in the house of the rising sun. chicken's in the bread pan picking out dough, granny does your dog bite, ""no child, no""",neutral
i hate how mlk jr got caught apewalkin at the selma march (reason why white people call us monkeys),negative
napoleon dynamite may be the most awkward person ever,negative
i'm not sure how teddy bridgewater playing in the orange bowl will go over in miami. we may find out.,neutral
"- spotted: i just saw elvis, i'm beginning to like the temporary 7th floor office. ;)",positive
got to rockdale today and going back to houston tomorrow thank god!,positive
you got a sweet shout out at a jon huntsman jr speech in st. louis monday night. well done!,positive
can you pay on the gate on saturday at bolton or not?,neutral
"china to open cultural centre in nepal: kathmandu, nov 2 (ians) china is going to open a cultural cen...",neutral
"why is jay cutler good in the 4th qtr and not others? good question, espn. could be worse, though; he could be tony romo.",neutral
pacers fans are going to have fun on saturday...,positive
youtube improves upload process with optional notifications and new tags editor: google on thursday announced th...,neutral
ay up you still want me to get you a pair of tickets for the sunderland match on 2nd jan (7.45pm ko)?,neutral
congratulations on scoring your first goal for swansea yesterday. may i say that you look exactly like jonas gutierrez !,positive
a lot of work goes into to showing a movie under the stars! come out tomorrow night at watch joyful noise on our...,neutral
thanks to norton junior school for friday's superb op anticipate assembly and the fab singing. katy perry's firework had us beaming all day!,positive
contraband was prolly the worst below average movie i ever sat and finished watching in my life,negative
"| that way, the orange bowl would always be a part of me. i think it was a wise choice. shit, is it thursday yet? game time!",positive
love my new .i mean my ipod touch.5th generation.does everything but make phone calls and has no gps ability.i don't need those options.,positive
"in other related news, you know there's no parks tomorrow?",negative
"gold edges down ahead of us jobs data: singapore (reuters) - gold edged lower on friday, with investors waiting ...",negative
guarantee if i go to maths tomorrow ill spend the whole time talking,neutral
i will watch coach stews fiesta bowl speech before the game tomorrow. just seems right for some reason. i know he is smiling at this team.,positive
ahhh girls if i was not going to dubai on wed i would take u ladies !! hope u can come visit me in land of sand x,neutral
it's party on nov 11th at da chalmers community hall 10$ to get n,neutral
holy shit. i just realized that i missed pretty little liars on tuesday. :/,negative
my part to the al green joint will be done friday...i'll shoot you an email with the attachment,neutral
"you should come watch ""the devil inside"" in the movie room on the 1st floor",neutral
but tonight when i went to see madonna at the scottrade when i walked in i started crying because i thought about last saturday.,negative
are the canes the biggest losers in the marlins park deal? losing the orange bowl = not good for their program. bad look at sun life.,negative
sike/april fools/ never say never but this is the exception ****turns on pretty little liars,neutral
"watching cbc news in vancouver, awaiting the wsop circuit event tomorrow. what's on the canadian network? the us election - what else...? :)",neutral
this guy is going in the mail tomorrow addressed to the georgia athletic dept.,neutral
...it's jason and i 3rd year anniversary today & it's my baby makes 3 months today! im the happiest and luckiest lady on earth :),positive
rob mentioned it in his sept 24th email to ces members.,neutral
so we probably wont hang that long okay? i wanna see you before you leave china. :d oh are you going tomorrow?,neutral
tim tebow steps out with girlfriend camilla belle in florida (sun-sentinel): share with friends: | | top news ...,neutral
"wow, what a weekend: flying lotus, zombie apocalypse, writing, patriots, dog beach...goodnight everyone. monday morning, screw you.",positive
one time i sat next to rick santorum and i swear i was polite the whole time,neutral
[espn] sec lunch links: some linkage for you on a thursday: alabama will throw some different things ...,neutral
the bookstore is packed with students buying warm wvu gear for the game this saturday!,neutral
tomorrow: lax->phoenix->dallas->houston. long day of flying.,neutral
"i just have to remember to go online tomorrow and watch grey's anatomy , scandal , &' vampire diaries .",neutral
we're going to be in the rose parade tomorrow with the other obedience club dogs! lizzie will be wearing roses! :-),positive
can you make an appearance at sbl in january i mean i know u live in california but i promise not to fall this time,neutral
"not 1st time we've had shocker at anfield on halloween.we can all see what needs to be done.carry on brendon, you've got my backing",neutral
kirk's bike shop: support the businesses you love and shop small this november 24th.,neutral
"chris bosh may not be easy on the eyes, but he has a freakin beautiful family!",positive
"bu grads are the 7th most employable in us after harvard, yale, stanford, mit, columbia, and princeton.",positive
in our busy lives in dubai could we just spare a moment of silence this friday morning for the people who still wear crocs.,neutral
"thought for the day!!! ""my pain may be the reasons for somebody's laugh....but my laugh must never be the reasons for somebody's pain!""",neutral
"i support johnson, liked he and huntsman in the primary. living in the 1st district made my decision easier",neutral
also don't forget wealth 11.14.12 that wednesday before come do zumba with your,positive
"tomorrow night ""upstate"" anderson,sc models & bottles plus $100 cash to the sexiest lady in black",neutral
napoleon dynamite is on and im not going to school tomorrow.,positive
"i'll try to take some more pics tomorrow, i lost mi phone during the service and all i got right now is that pic i sent you",neutral
an alarm on my phone still goes off every thursday for a jon huntsman for president national finance team call. probably time to delete it.,negative
please please would you consider singing etta james at my wedding in may? we chose the song coz of you <3,neutral
watching eddie izzard circle. sooooo funny but i think it's bed time. will make andy watch it with me tomorrow.,positive
looking forward to a fun weekend in the mountains and enjoying the snow in california. have a great friday.,positive
"""the last thing dr. king ever said to me before he went down to memphis: 'harry, we may be integrating into a burning house."" ~h. belafonte",neutral
"me: ""hey mom. danielle gets her license tomorrow... you know what car she drives. a range rover, pretty cool huh?"" mom: ""no. fuck off sam.""",negative
"people's choice awards site is sooooo slow, c'mon i want to vote",negative
"this friday we are mixing tumblr with twitter, ah well.",neutral
well geaux tigers:) and yes it is and then three days after that is.....nov 6 which means election day! !,neutral
breaking news...........man utd have placed howard webb on the transfer list after new signing mark clattenberg makes dream debut on sunday.,neutral
oh i'll be 19 in february. where do you live? i live in florida. :d,neutral
"ricky gervais - all that money, all the freedom that money brings. thought he'd spend sunday tweeting...",neutral
hope you're getting up to meet me at our women's health symposium! 9-3 at the kentucky center for african-am heritage on 18th & muhammad ali,neutral
"my 1st fantasy team is the hurt boys. dwyane wade, dwight howard, john wall & derrick rose.",neutral
looking fowrard to kaman returning this saturday when mavs face the bobcats!,positive
"homework catch up day and then dinner with the ""big brother"" before the hurricane. i kinda need school not to happen on monday",negative
"hey, all you folk, tomorrow is the deadline 11:59pm to vote for hma people's choice awards",neutral
"new header of lana del rey *__* her face is getting blocked though, i may change it later..",negative
"hating breitbart out tomorrow in wisconsin - oshkosh, appleton, ashwaubenon, and brookfield. check it out, guys!",negative
london copper up for 3rd day and underpinned by china data - steelguru,neutral
who's your pa? new house is 10 mins away. off to dubai on sat - going to the grand prix too (cheers g'ma)!,neutral
""" : singing find your love by drake like the kid in my 4th block class that swears he's good."" lmaoooo!!! leave that boy alone!",positive
i bet you won't power clean mettenbergers unconscious body after you sack him saturday! roll tide,negative
"did he really just say "" you think on 3rd & 23 they would play it safe and kick it"". im roll tide all day but that shit was harsh.",negative
"yoo.. you gonna be at ecaasu in february? let's go bro! come to philly, i'll drive up!",positive
the date is approaching fast los angeles!! be sure to catch the show in malibu on november 16 th!! tickets...,neutral
friday night's concert with white collar side show!,neutral
saturday night bout to be live.....2 dollar drinks wizards opener with the homie,neutral
"could have used him against hou, ran ball vs indy, bad def against pats, & he won 1st miami, let it go lol",neutral
madonna is in concert tonight in st. louis. all the women are dressing like 80s whores. some of them may even go to the concert.,negative
excited for pre-fashion night out drinks at pipa tomorrow night with the homepolish designers! first of many...,positive
"i googled ""coffee & its immediate response, mechanisms"" the first page that appeared ""september 11 attacks, wiki"".. i dont see the link here",negative
why doesn't fx re-run it on tuesday instead of competing against election coverage?,neutral
"as a liberal dude, i would have seriously considered voting for jon huntsman. i may be wrong but he seems like a reasonable guy.",neutral
aquib talib for a 4th round pick is larceny. good move by the patriots.,positive
kevin hart is on comedy central right now..is it the show from sunday?,neutral
lakers gonna beat the clippers tomorrow tho !,neutral
"so heartbreaking that the is actually gonna cancel the winter classic tomorrow, must be brutal trying to divvy up $3.3 billion! fuck!!",negative
you did an amazing job.....can u fly to indiana and sing to me for my birthday tomorrow,positive
"do u follow dj ? u should, he's great, daily songs.today was at last,etta james.12th time youtube.wow!",positive
i want a sunday kind of love - etta james,neutral
i gave $2200 to the santorum campaign. put me in debt. romney gets my vote anyway though. 3rd party people just don't get how bad bho is.,negative
"no school tomorrow = tumblr the whole night, till i fall asleep p;",neutral
the night matt has a place in ypsi and we are going to state saturday,neutral
"been awhile,sat back taking stock,think we missing a ""fox in the box"" has anyone else clocked what jordan rhodes is doing? 1/2",neutral
my best friend is trying out for the rose parade tomorrow. i wish you the best shante<3 good luck!,positive
a panoramic shot taken saturday at the devil's den yellow rock bluff. mike,neutral
"im seeing you november 12 aka in the hood, make me your ollg and i'll pay you in chicken nuggets",neutral
the bill michaels huddle is on the air now call the show at to chime in about the packers matchup against arizona on sunday.,neutral
monday night raw is on on monday nights from 7pm-10pm. the 3rd season of teen mom 2 is on a new night. mondays. at 9pm. oh the dilemma......,negative
yeah she been there for like 3 years n she gettin stationed back in georgia in june i think,neutral
"join us in the av dept on weds aug 15 at 7pm to watch the free movie,""joyful noise"" for all ages,under age 8 needs adult.",positive
u guys talk about eli in the 4th qt big ben isn't to shabby either and steelers fans aren't complaining trust me,positive
"off to watch el classico now.... may even rewatch the first 18mins of yesterday , nufc too",neutral
lets just go protest tomorrow spread to our pirate brothers! we did it with sopa lets tey it again :),positive
"christian ponder & samantha steele, not jenn brown. steele was hanging out with les miles on tuesday.",neutral
"china's sse composite index shows the way, up 1.1% on fri. the stock market is a leading indicator.",neutral
chris jericho's 9th wwe theme for 30 mins: break the walls down (v5): via,neutral
"got the 2nd season of downton abbey from the library...so ashamed about the girly side of me coming out, had to schedule a new tattoo",negative
forget the ricky gervais animation show...this is the animation *vid to watch!... *may have something to do with us.,positive
may i have one with liam please? my name is bethan :) x thank you! x,positive
"best attitude for living: ""my pain may be the reason for somebody's laugh, but my laugh must never be the...",positive
i better see you at jason's on friday or saturday,neutral
ha ha what howard webb you cheeky bugger. were saving him for saturday lol!,neutral
49ers vs. cardinals: vernon davis and key players for both teams: the monday night matchup between the san franc...,neutral
"one. more. source. c'mon google, just one more",negative
ricky gervais | friday night with jonathan ross | 14/11/2003 part 2 of 2 via,neutral
camping out on the parade grounds thursday and friday night to make sure our tailgate spot is safe. geaux tigers,positive
comedy central kicks off in singapore in the early hours of friday. and who better to lead the charge than mr stewart,neutral
tomorrow is 12 october 2012. five years ago on 12 october 2007 the first wizards of waverly place episode ever premiered on disney channel.,neutral
"day 1 of riding = 50%. fail. i don't know where 110x picks up in downtown tucson, but it sure ain't 6th & congress! calling a ride.",negative
fuck it i haven't done nothing in like 2 months. maybe i will see if my mom will watch aaliyah tomorrow so i can do something,neutral
i want to have a dance party sat. come to atl after the game. lets do it!,neutral
so it's official monday is my first day. no more matt for a long while.. except on tuesday's or wednesdays:),negative
"fact: jk rowling, harry potter and actor daniel radcliffe all share the same birthday, july 31.",neutral
yeay yeay yeay!!! home opener tomorrow! let's go ! and excited to hang w/ greatest fans in the nba! see you all there tomorrow!,positive
oh and red tails for the 1st time.. yeah yeah kinda orta late af.. but it was good!,positive
"""we may have come on different ships, but we're i the same boat now."" mlk jr.",neutral
"guys, when liam comes on tomorrow. please spam him to follow it would make her smile. she deserves it. please. i'm beggin you.",positive
"thursday night line uppppp henny + coke & chipotle, vampire diaries, greys anatomy, scandal! fuckkkkk with me sonnn",negative
that used to fly over bolton on tuesday afternoons. think it was tuesday anyway. must have been a regular delivery run.,neutral
ive got a maths exam tomorrow. can you wish me a luck? no? okay thanks. i wont pass this exam.4,negative
"trade gordon to the mavs for mayo, kaman, jae crowder & 2014 mavs 1st rounder. maybe cuban will take the risk!",neutral
49ers helping the vernon davis cause for story on . profile on him airs tomorrow on espn. good stuff.,positive
so excited to go to philly tomorrow wifff the best people everrr and roseeee :))),positive
everything kanye does needs a news crews presence because he's too black to burn from sun rays,neutral
"foxtel is the best money i have ever spent. productivity goes down on tuesday's... newsroom, mob wives, general omg-ness. love it.",positive
if you don't pipe down i'm gonna injure tim howard so you have to watch jan mucha all year !!,negative
heat didn't start the season like that in their 1st year. la lost to mavs with no dirk! pathetic!,negative
"teen mom 2 on monday ahhh can't wait!!! wish i could watch with !!! best line ever ""im addicted...i love weed!!""",positive
"last game for jr. high bearcats/7th grade. on the road at clarksville, 7th a 5:30, jr. high at 7",neutral
